time (min),CLN1_18[20230804_claudins] (dRI),time (min),CLN1_18[20230804_claudins] (Rayleigh ratio),time (min),CLN1_18[20230804_claudins] (UV),time (min),CLN1_18[20230804_claudins] (Molar mass)
-0.353780182142042,-0.001446226780213,-0.114654881894273,-0.00147184097800118,0.0106666666666667,0.000211040434062089,19.3614819060513,42640.2171903698
-0.337982323995975,0.00251768217875275,-0.0981216588145234,-0.00162618744807651,0.0271998897464168,0.000192492276753518,19.3780151291311,42468.3295322069
-0.322184465849908,0.00434310583373826,-0.0815884357347733,-0.00175379098943799,0.0437331128261668,0.000185685468173705,19.3945483522108,42416.0137684263
-0.30638660770384,0.00432521224663496,-0.0650552126550232,-0.00186321182573945,0.0602663359059169,0.000178199295857365,19.4110815752906,42458.9722219883
-0.290588749557773,0.00430731865953166,-0.0485219895752731,-0.00209537613159985,0.076799558985667,0.000169344972988051,19.4276147983703,42447.6594129066
-0.274790891411705,0.00426584812274803,-0.031988766495523,-0.00233507360357697,0.0933327820654171,0.000155509922116774,19.4441480214501,42323.0876756382
-0.258993033265638,0.00421848609037433,-0.0154555434157729,-0.0024512140180324,0.109866005145167,0.000132394255098949,19.4606812445298,42365.5791348043
-0.24319517511957,0.00419990404384663,0.00107767966397715,-0.00251131485931669,0.126399228224917,0.000118465635778268,19.4772144676096,42344.838873882
-0.227397316973503,0.00420246182599732,0.0176109027437272,-0.00264899806361631,0.142932451304667,0.000109273858380898,19.4937476906893,42259.2802182056
-0.211599458827436,0.0042073695889869,0.0341441258234773,-0.00287278846342246,0.159465674384417,9.47070346850821E-5,19.5102809137691,42100.2152114461
-0.195801600681368,0.00421206178260168,0.0506773489032274,-0.00308541705273682,0.175998897464168,7.47839174466838E-5,19.5268141368488,41997.5191927962
-0.180003742535301,0.00421580099172454,0.0672105719829775,-0.00315358747684555,0.192532120543918,6.31409162979912E-5,19.5433473599286,42122.9076792168
-0.164205884389233,0.00421782040319476,0.0837437950627276,-0.00311721519937721,0.209065343623668,5.46307065955092E-5,19.5598805830083,42172.5299086979
-0.148408026243166,0.0042171915137,0.100277018142478,-0.00304665575014033,0.225598566703418,4.85027123689496E-5,19.5764138060881,42143.6327494401
-0.132610168097098,0.00421656262420523,0.116810241222228,-0.0029965829956445,0.242131789783168,5.0947511888785E-5,19.5929470291678,42065.4504592566
-0.116812309951031,0.0042081858972583,0.133343464301978,-0.00297127371436738,0.258665012862918,5.39844614293347E-5,19.6094802522476,41998.5294065257
-0.101014451804964,0.00422247627058317,0.149876687381728,-0.00286462464982756,0.275198235942668,5.7014929408515E-5,19.6260134753273,41929.0875941844
-0.0852165936588962,0.00423834242879592,0.166409910461478,-0.00276342331840323,0.291731459022418,6.02721374966242E-5,19.6425466984071,41838.4505214419
-0.0694187355128288,0.00427431835805891,0.182943133541228,-0.00268379000895377,0.308264682102168,6.29696438029676E-5,19.6590799214868,41756.4406609036
-0.0536208773667614,0.0043299630897185,0.199476356620978,-0.00248638523377226,0.324797905181918,6.51224137791106E-5,19.6756131445666,41698.2204819839
-0.037823019220694,0.00438325653824969,0.216009579700728,-0.00225927256044601,0.341331128261668,5.82721945285931E-5,19.6921463676463,41668.6589358564
-0.0220251610746266,0.00443761098979654,0.232542802780478,-0.00202435064074427,0.357864351341419,4.48522703843303E-5,19.7086795907261,41654.7114250512
-0.00622730292855916,0.00450548371615308,0.249076025860229,-0.00187947965391663,0.374397574421169,3.60639530734866E-5,19.7252128138058,41703.6053069697
0.00957055521750827,0.00455903332552249,0.265609248939979,-0.00182835517268431,0.390930797500919,3.00673426058837E-5,19.7417460368856,41619.584567019
0.0253684133635756,0.00458027833649545,0.282142472019729,-0.00196658425581272,0.407464020580669,2.17444810872236E-5,19.7582792599653,41505.44467761
0.0411662715096431,0.00461207157096184,0.298675695099479,-0.00188347277262146,0.423997243660419,1.10573970359868E-5,19.7748124830451,41389.3687058833
0.0569641296557105,0.00465515222366009,0.315208918179229,-0.00174414323560842,0.440530466740169,2.49291758446759E-6,19.7913457061248,41290.1618346448
0.0727619878017779,0.00469595527424522,0.331742141258979,-0.00163731185205622,0.457063689819919,-4.50844533629456E-6,19.8078789292046,41219.1936671702
0.0885598459478453,0.00474788790426755,0.348275364338729,-0.00156574162053242,0.473596912899669,-1.14156655733046E-5,19.8244121522843,41253.6525799222
0.104357704093913,0.00477473062071415,0.364808587418479,-0.00158302910162951,0.490130135979419,-1.83281546589914E-5,19.8409453753641,41366.1190116568
0.12015556223998,0.00481158500308311,0.381341810498229,-0.0015513667233125,0.506663359059169,-2.64763345422002E-5,19.8574785984438,41314.5376248041
0.135953420386048,0.00485206118637844,0.397875033577979,-0.00133157587098389,0.523196582138919,-4.52528750979295E-5,19.8740118215236,41169.4299616212
0.151751278532115,0.00488051324655922,0.414408256657729,-0.0010310388582286,0.53972980521867,-4.36931641383621E-5,19.8905450446033,40990.6171293567
0.167549136678182,0.00491218107302313,0.43094147973748,-0.000776221391076562,0.55626302829842,-3.82477641626821E-5,19.9070782676831,40843.7814098336
0.18334699482425,0.0049194210751556,0.44747470281723,-0.000577497212109383,0.57279625137817,-3.05464231601127E-5,19.9236114907628,40691.0289725562
0.199144852970317,0.00493970974439716,0.46400792589698,-0.000549561070322646,0.58932947445792,-2.34405390473857E-5,19.9401447138426,40601.3805689581
0.214942711116385,0.00498751351399617,0.48054114897673,-0.000684071060117721,0.60586269753767,-1.72228895664526E-5,19.9566779369223,40435.8560237111
