time (min),CLN1_14[20230804_claudins] (dRI),time (min),CLN1_14[20230804_claudins] (Rayleigh ratio),time (min),CLN1_14[20230804_claudins] (UV),time (min),CLN1_14[20230804_claudins] (Molar mass)
-0.346446848808709,0.0376660703571284,-0.121588215227607,-0.000912816628077613,0.00373333333333333,-0.000188500442881488,18.825485434166,48189.3514202553
-0.330648961402342,0.00768777935239216,-0.105054992147857,-0.000950609537041237,0.0202665564130834,-0.000150471001627043,18.8420186572458,49150.1135206818
-0.314851073995975,-0.00565424698132966,-0.0885217690681066,-0.00104092443521696,0.0367997794928335,-0.000111404248733519,18.8585518803255,48880.8684007266
-0.299053186589608,-0.00569444771316992,-0.0719885459883565,-0.0011919538884905,0.0533330025725836,-7.44710802093758E-5,18.8750851034052,48639.6958496037
-0.283255299183241,-0.00575024921096863,-0.0554553229086065,-0.00119747587401499,0.0698662256523337,-3.97634165130566E-5,18.891618326485,48356.17030973
-0.267457411776874,-0.00580640976650891,-0.0389220998288564,-0.000919175522439869,0.0863994487320838,-7.67809081730257E-7,18.9081515495647,48089.3259542814
-0.251659524370507,-0.00584972638514775,-0.0223888767491063,-0.000672967292727741,0.102932671811834,4.48793725793695E-5,18.9246847726445,48041.8683454179
-0.23586163696414,-0.00588629493347867,-0.00585565366935618,-0.00050772263278789,0.119465894891584,9.1042826094732E-5,18.9412179957242,47828.5173132746
-0.220063749557773,-0.00591386691142314,0.0106775694103939,-0.000467481028983622,0.135999117971334,0.000129291629573801,18.957751218804,47705.8152229963
-0.204265862151406,-0.00594834702411036,0.027210792490144,-0.000457383370399433,0.152532341051084,0.000160049283462323,18.9742844418838,47558.7786082659
-0.188467974745039,-0.00597566247993379,0.0437440155698941,-0.000457077051004682,0.169065564130834,0.000181511211558354,18.9908176649635,47267.4649366419
-0.172670087338672,-0.00598347995601996,0.0602772386496442,-0.000482997954571142,0.185598787210584,0.000202803422860454,19.0073508880432,47036.9039180512
-0.156872199932304,-0.00599636817767462,0.0768104617293943,-0.000364515075609453,0.202132010290334,0.000224527743384723,19.023884111123,46818.5601805661
-0.141074312525937,-0.00600843761990518,0.0933436848091444,-0.000203029072936428,0.218665233370085,0.000242801951180753,19.0404173342028,46541.769314323
-0.12527642511957,-0.00604064845602909,0.109876907888894,-8.40946826456194E-5,0.235198456449835,0.000257785669917546,19.0569505572825,46341.9766319962
-0.109478537713203,-0.00608562413298774,0.126410130968645,-1.18538630108933E-5,0.251731679529585,0.00026888418472164,19.0734837803622,46112.2523642165
-0.0936806503068363,-0.00610946539876765,0.142943354048395,0.000115308542445443,0.268264902609335,0.000268588109120114,19.090017003442,45942.8206892113
-0.0778827629004692,-0.00611236560976285,0.159476577128145,0.000261643220985151,0.284798125689085,0.000268119732581493,19.1065502265217,45778.4051537152
-0.0620848754941022,-0.00612044493484628,0.176009800207895,0.000398222985510307,0.301331348768835,0.000271117088202179,19.1230834496015,45630.2018477012
-0.0462869880877352,-0.00613479640851748,0.192543023287645,0.000514388657526698,0.317864571848585,0.000277793088464561,19.1396166726812,45515.8708502125
-0.0304891006813682,-0.00613546929504099,0.209076246367395,0.000611676773428722,0.334397794928335,0.000285157543745741,19.156149895761,45465.9961939212
-0.0146912132750011,-0.00614972950065647,0.225609469447145,0.000456349894650243,0.350931018008085,0.000292941959996675,19.1726831188407,45439.5603216524
0.00110667413136595,-0.00614939063389514,0.242142692526895,0.000202630101990484,0.367464241087835,0.000303241783821455,19.1892163419205,45379.2817169097
0.016904561537733,-0.00615987717886989,0.258675915606645,-2.1577402255013E-6,0.383997464167585,0.000313550627058574,19.2057495650002,45276.7341016354
0.0327024489441,-0.00619510099420188,0.275209138686395,-0.000175321541465744,0.400530687247335,0.000310564048372288,19.22228278808,45105.8496052429
0.0485003363504671,-0.00622799211292718,0.291742361766145,-0.000326983684165313,0.417063910327086,0.000295012165698783,19.2388160111597,45001.5707200837
0.0642982237568341,-0.00623405486492816,0.308275584845896,-0.000506761741810621,0.433597133406836,0.000298647911068994,19.2553492342395,44926.5982847021
0.0800961111632011,-0.00623418269011351,0.324808807925646,-0.000534330122379793,0.450130356486586,0.000303914977088404,19.2718824573193,44964.2140932346
0.0958939985695682,-0.00623334959633581,0.341342031005396,-0.000392105467772176,0.466663579566336,0.000307773100312496,19.288415680399,44905.4161944027
0.111691885975935,-0.00624450031969315,0.357875254085146,-0.000295108284923121,0.483196802646086,0.000310284531272558,19.3049489034787,44748.611127643
0.127489773382302,-0.00623824961737953,0.374408477164896,-0.000271050502890445,0.499730025725836,0.000298106914690418,19.3214821265585,44645.5675810533
0.143287660788669,-0.00622436260813276,0.390941700244646,-0.000286357084858846,0.516263248805586,0.000296517709661596,19.3380153496382,44501.6420046739
0.159085548195036,-0.00622675713718989,0.407474923324396,-0.000289892819315443,0.532796471885336,0.000297789314158785,19.354548572718,44535.7979229567
0.174883435601403,-0.00622915166624701,0.424008146404146,-0.000291572927929436,0.549329694965086,0.000298504475232084,19.3710817957978,44515.5149678638
0.19068132300777,-0.00623820391493714,0.440541369483896,-0.000294530550320001,0.565862918044836,0.000298556387028619,19.3876150188775,44480.2205005338
0.206479210414137,-0.00623860869861,0.457074592563646,-0.000427411195272235,0.582396141124587,0.000299479376507686,19.4041482419573,44485.0342630217
0.222277097820504,-0.0062295623533244,0.473607815643396,-0.000540261337876148,0.598929364204337,0.000300194035901051,19.420681465037,44641.8668840512
0.238074985226872,-0.00621842822316176,0.490141038723147,-0.000623214186171525,0.615462587284087,0.000300650042903922,19.4372146881167,44768.3799350307
