ProDataCSV

Title: Mon Nov 11 13:07:59 2024

Remarks:
#User: Chirascan User
#Date: 2024/11/11
#Instrument: 0539
#DetectorType: LAAPD
#DichOS Calibration Correction Curve: 0539/1
#HV (CDDC channel): 0 v
#Time per point: 0.5 s
#MultiCellAutoChanger: Enabled
#Sample1: pNG_157
#Cell1 type: 
#Cell1 Pathlength: 1 mm
#Sample2: pNG_158
#Cell2 type: 
#Cell2 Pathlength: 1 mm
#Temperature: 27.99 C
#Multi cell repeat setting: Repeats made per position

Last Modified: Mon Nov 11 14:49:07 2024 by unknown.

Options:

Available Dimensions:,4
Warning! This DataStore contains four or more Dimensions.
Output will be truncated to the four most significant Dimensions.
(Unsaved dimensions are marked below with an asterix.)
Temperature,77 temperatures, from 20 to 20degrees Celsius in stepped ramp mode.
Repeat,3 repeats in set., -iter option selected
Cell,2 cells in set.
Wavelength,Wavelength: 220nm,,Bandwidth: 1nm

Available Properties: ,7
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.5s (25us x 20000),
SE,SE
Temperature,

Data:

66,-15.6425,-15.7831,-15.7669
64,-15.7625,-16.0099,-15.6575
62,-15.9121,-15.85,-15.9491
60,-16.2655,-15.942,-15.9994
58,-16.0097,-16.0521,-16.2272
56,-16.2789,-16.3147,-16.1691
54,-16.069,-16.2774,-16.1363
52,-16.2464,-16.3603,-16.3053
50,-16.2693,-16.4787,-16.5485
48,-16.4921,-16.4804,-16.651
46,-16.8123,-16.7081,-16.7984
44,-16.7959,-16.9391,-16.727
42,-16.8043,-17.1449,-16.9108
40,-16.6946,-16.9546,-16.7228
38,-16.8749,-16.9975,-17.2998
36,-16.8055,-16.8269,-16.7859
34,-17.0376,-16.7206,-16.8389
32,-17.4763,-16.8904,-16.9361
30,-17.2119,-17.0439,-17.2207
28,-17.1434,-17.3006,-17.0168
26,-16.8157,-17.2943,-17.0546
24,-17.2969,-17.1982,-17.1197
22,-17.2175,-16.9503,-17.2973
20,-17.1542,-17.2639,-17.126

HV
Wavelength:,220
Cell:,1
Temperature,Repeat
,0,1,2,
20,586.914,583.939,586.868
22,586.777,585.876,586.334
24,585.068,586.426,585.541
26,586.929,585.571,585.648
28,584.579,586.151,586.304
30,585.663,585.831,586.609
32,585.266,585.129,584.29
34,584,585.754,584.976
36,584.183,584.015,584.152
38,583.313,583.908,585.251
40,584,584.061,582.764
42,584.305,584.045,582.504
44,583.542,582.718,583.435
46,583.847,583.054,582.733
48,583.145,584.244,582.382
50,582.138,582.626,582.565
52,582.87,582.565,582.993
54,581.894,582.397,582.672
56,582.611,582.367,583.908
58,582.169,582.611,583.435
60,583.191,582.672,583.282
62,584.045,583.801,583.344
64,584.503,584.091,584.473
66,584.671,582.138,584.625
68,583.694,584.381,584.29
70,586.395,584.747,583.847
72,584.274,585.251,585.342
74,585.48,585.159,587.204
76,585.388,586.96,586.868
78,587.524,585.861,587.311
80,587.936,588.638,589.478
82,589.554,590.424,589.05
84,590.286,590.149,589.813
86,589.767,589.737,589.142
88,589.386,588.318,588.913
90,589.92,588.669,589.905
92,589.447,589.157,590.24
94,587.677,588.547,589.63
96,588.364,590.012,588.287
94,587.86,589.127,589.874
92,589.05,589.096,590.546
90,588.806,588.943,589.569
88,587.952,588.989,589.874
86,589.645,589.096,588.913
84,589.172,588.394,588.196
82,587.234,588.898,588.562
80,588.455,587.006,587.54
78,587.845,587.54,587.723
76,587.86,588.577,586.807
74,587.723,588.608,588.226
72,589.111,588.181,587.494
70,588.989,588.074,587.067
68,587.891,587.845,587.616
66,588.394,588.12,587.311
64,588.501,587.326,587.814
62,589.325,586.853,587.463
60,587.494,585.48,587.402
58,588.699,586.899,588.76
56,588.043,587.54,587.601
54,587.006,587.479,587.524
52,589.691,586.182,586.639
50,588.028,586.594,587.524
48,587.097,586.7,587.463
46,587.296,588.135,586.288
44,586.945,585.022,587.448
42,585.19,587.097,586.273
40,585.571,585.739,585.663
38,585.129,584.32,586.487
36,585.449,585.556,585.251
34,585.236,585.129,584.427
32,584.396,585.342,585.052
30,585.815,584.091,585.129
28,584.702,584.686,584.915
26,584.885,583.786,583.862
24,584.488,583.984,583.817
22,583.42,583.298,583.374
20,584.183,583.359,583.771
Wavelength:,220
Cell:,2
Temperature,Repeat
,0,1,2,
20,575.546,574.951,574.753
22,575.165,575.119,574.417
24,575.287,575.241,574.417
26,575.195,573.929,574.57
28,573.898,573.349,574.615
30,574.86,574.219,574.28
32,573.09,573.273,574.509
34,574.326,574.356,573.654
36,573.395,574.326,574.844
38,574.387,574.448,574.173
40,574.432,573.822,573.715
42,573.425,573.746,573.547
44,573.257,573.41,573.105
46,572.327,573.288,573.227
48,573.456,573.334,573.38
50,573.212,573.792,573.12
52,574.28,573.929,574.829
54,573.502,572.662,574.219
56,574.478,573.532,573.654
58,573.99,574.554,574.936
60,574.173,575.18,575.867
62,574.89,574.829,575.134
64,574.539,575.15,575.958
66,576.462,574.417,577.316
68,577.774,576.538,575.638
70,577.347,577.225,576.157
72,577.591,577.545,576.843
74,578.659,578.247,579.086
76,579.361,580.17,579.59
78,580.017,580.658,580.185
80,580.719,580.795,581.741
82,583.527,583.527,582.977
84,585.617,584.122,583.969
86,586.319,586.243,585.419
88,587.799,587.921,590.134
90,589.386,589.34,589.905
92,591.614,590.729,591.599
94,591.812,592.072,592.606
96,593.262,594.391,592.728
94,594.193,593.369,593.643
92,593.094,596.68,594.803
90,596.603,595.2,595.093
88,596.191,596.085,595.428
86,595.428,595.093,596.527
84,595.886,597.198,596.146
82,595.779,596.024,595.627
80,596.054,596.191,596.268
78,596.405,595.337,596.222
76,597.275,595.978,594.971
74,597.107,596.878,597.321
72,595.947,597.763,596.954
70,596.375,598.74,595.596
68,597.504,597.229,597.29
66,597.488,596.466,596.756
64,596.695,596.832,596.252
62,595.398,596.634,596.97
60,596.191,597.488,596.741
58,596.878,595.612,596.466
56,596.619,597.321,596.878
54,595.947,596.802,596.909
52,597.916,598.251,596.344
50,597,596.466,597.702
48,597.244,597.931,596.939
46,597.153,597.916,596.954
44,597.9,595.901,596.741
42,595.444,597.26,597.519
40,596.375,598.236,596.802
38,598.206,597.412,596.725
36,595.993,595.886,596.542
34,596.115,597.031,596.802
32,599.045,596.695,597.305
30,595.795,596.512,595.703
28,595.642,596.725,597.122
26,596.451,596.1,596.085
24,595.383,595.612,597.855
22,597.397,595.795,596.069
20,597.015,595.901,595.49

Absorbance
Wavelength:,220
Cell:,1
Temperature,Repeat
,0,1,2,
20,0.323844,0.324442,0.322184
22,0.323647,0.324603,0.32419
24,0.324629,0.323882,0.324317
26,0.323502,0.323704,0.323351
28,0.323102,0.322947,0.32156
30,0.322581,0.321707,0.32023
32,0.320551,0.319999,0.320136
34,0.318561,0.317411,0.317598
36,0.314859,0.316241,0.315501
38,0.31493,0.315325,0.313685
40,0.309236,0.308774,0.311505
42,0.309616,0.30915,0.311397
44,0.307334,0.308007,0.307453
46,0.306795,0.306847,0.309149
48,0.310519,0.306129,0.308281
50,0.305595,0.305442,0.308805
52,0.310107,0.308866,0.306956
54,0.305863,0.30579,0.306427
56,0.306082,0.305825,0.303157
58,0.30741,0.308485,0.306107
60,0.31041,0.309201,0.311017
62,0.310042,0.311278,0.311238
64,0.310762,0.312822,0.312736
66,0.311588,0.315111,0.313658
68,0.313753,0.312817,0.312964
70,0.317313,0.316869,0.31639
72,0.319075,0.320143,0.318384
74,0.321636,0.322833,0.324125
76,0.3245,0.325589,0.325298
78,0.331168,0.332369,0.331231
80,0.337056,0.338691,0.338825
82,0.343997,0.341868,0.345726
84,0.342665,0.347568,0.344087
86,0.343412,0.341878,0.342372
88,0.34002,0.341089,0.338298
90,0.340749,0.339902,0.336911
92,0.338369,0.337597,0.337304
94,0.337726,0.337626,0.334747
96,0.33692,0.337255,0.338112
94,0.335749,0.335078,0.334815
92,0.342425,0.340077,0.338794
90,0.342233,0.339432,0.339959
88,0.339767,0.337882,0.340533
86,0.338858,0.339277,0.33832
84,0.337094,0.335666,0.336794
82,0.337298,0.337333,0.33543
80,0.334924,0.335718,0.336406
78,0.332569,0.332327,0.331626
76,0.334056,0.333515,0.333148
74,0.334672,0.331084,0.336363
72,0.335515,0.332104,0.335095
70,0.335803,0.333457,0.334943
68,0.332886,0.334426,0.334864
66,0.332856,0.334352,0.334551
64,0.333104,0.333722,0.331731
62,0.333289,0.332367,0.332226
60,0.33295,0.333438,0.333229
58,0.332134,0.333011,0.332308
56,0.330756,0.330256,0.330337
54,0.331518,0.331354,0.329042
52,0.331109,0.331237,0.331858
50,0.329259,0.327751,0.330363
48,0.327492,0.326069,0.328219
46,0.328648,0.326197,0.327852
44,0.325115,0.327455,0.325584
42,0.32449,0.326739,0.322361
40,0.320367,0.322287,0.321507
38,0.322765,0.32051,0.320383
36,0.319619,0.319948,0.319621
34,0.316712,0.317989,0.319086
32,0.317099,0.320224,0.317468
30,0.316967,0.316995,0.316022
28,0.3167,0.314869,0.314053
26,0.312955,0.315602,0.31442
24,0.313313,0.312338,0.311756
22,0.313936,0.309727,0.310786
20,0.309587,0.3116,0.310019
Wavelength:,220
Cell:,2
Temperature,Repeat
,0,1,2,
20,0.263561,0.264134,0.265228
22,0.259915,0.262128,0.263485
24,0.261005,0.259955,0.260412
26,0.261723,0.261567,0.257548
28,0.258609,0.259077,0.258051
30,0.26098,0.258762,0.261255
32,0.258232,0.259587,0.257888
34,0.258723,0.261231,0.260361
36,0.259928,0.259412,0.258628
38,0.260505,0.259078,0.258364
40,0.259848,0.256518,0.260671
42,0.256068,0.256377,0.25578
44,0.255413,0.256088,0.255699
46,0.254296,0.254567,0.25435
48,0.255398,0.253953,0.257644
50,0.256404,0.257983,0.256733
52,0.255531,0.255277,0.257252
54,0.25925,0.259241,0.257269
56,0.259336,0.258935,0.259871
58,0.261596,0.259695,0.259752
60,0.261306,0.262313,0.264006
62,0.263492,0.263486,0.263484
64,0.264815,0.266601,0.264847
66,0.269741,0.267976,0.267783
68,0.271539,0.26908,0.272229
70,0.273456,0.274043,0.273542
72,0.280174,0.279144,0.27984
74,0.283903,0.284215,0.283946
76,0.287512,0.289145,0.292338
78,0.295901,0.294632,0.295939
80,0.303234,0.30211,0.302038
82,0.310841,0.310455,0.307635
84,0.318169,0.318394,0.316604
86,0.324915,0.324952,0.326084
88,0.332347,0.332577,0.328787
90,0.336306,0.339489,0.33729
92,0.348303,0.348339,0.349549
94,0.353403,0.355558,0.354502
96,0.359861,0.359311,0.360836
94,0.359483,0.358437,0.358908
92,0.364855,0.363192,0.365578
90,0.367395,0.367137,0.371228
88,0.371223,0.367454,0.3686
86,0.370615,0.37089,0.371122
84,0.371465,0.37146,0.372043
82,0.372579,0.372004,0.373353
80,0.370751,0.372964,0.371564
78,0.371332,0.37089,0.370938
76,0.370927,0.37099,0.373301
74,0.373569,0.372755,0.370434
72,0.375636,0.371915,0.373365
70,0.373837,0.375963,0.374984
68,0.376259,0.374391,0.37458
66,0.375792,0.374752,0.376727
64,0.373069,0.373857,0.373143
62,0.375494,0.372796,0.376183
60,0.374313,0.373875,0.372728
58,0.374046,0.376813,0.373976
56,0.374092,0.374015,0.375472
54,0.374132,0.375804,0.37554
52,0.375133,0.373773,0.375181
50,0.375289,0.374304,0.377034
48,0.377613,0.376687,0.376315
46,0.377687,0.375682,0.378442
44,0.376516,0.377806,0.376338
42,0.376262,0.375959,0.378885
40,0.375572,0.377963,0.376151
38,0.376411,0.378457,0.375855
36,0.37376,0.374552,0.374471
34,0.374087,0.373864,0.37465
32,0.374294,0.374842,0.375089
30,0.376282,0.373878,0.374852
28,0.372235,0.373706,0.372959
26,0.371493,0.372766,0.374012
24,0.372961,0.370701,0.371506
22,0.372662,0.370077,0.370368
20,0.369961,0.368428,0.369306

Voltage
Wavelength:,220
Cell:,1
Temperature,Repeat
,0,1,2,
20,8.07393,7.78679,8.10057
22,8.06484,7.96361,8.01368
24,7.88815,8.02787,7.93771
26,8.0817,7.95176,7.96532
28,7.87049,8.01961,8.0595
30,7.98088,8.01262,8.11281
32,7.98113,7.97841,7.89726
34,7.89869,8.08508,8.00826
36,7.98367,7.94245,7.96899
38,7.89991,7.94909,8.10685
40,8.07012,8.08458,7.90994
42,8.09236,8.07613,7.88711
44,8.06138,7.96951,8.04886
46,8.10087,8.02324,7.95005
48,7.96446,8.1517,7.93215
50,7.9577,8.00784,7.9402
52,7.94569,7.93909,8.01534
54,7.92916,7.97926,7.99413
56,7.99458,7.97566,8.17496
58,7.92747,7.95045,8.07385
60,7.97085,7.94323,7.96847
62,8.05956,8.01329,7.97026
64,8.09002,8.01248,8.05043
66,8.0907,7.78524,8.04787
68,7.95761,8.0402,8.02877
70,8.14733,8.0001,7.92386
72,7.91514,7.9872,8.02823
74,7.98116,7.92936,8.09563
76,7.92021,8.04578,8.0427
78,7.99466,7.82108,7.97399
80,7.92413,7.95737,8.03023
82,7.94193,8.05847,7.86589
84,8.03148,7.92924,7.96328
86,7.97159,7.99709,7.93502
88,7.99997,7.88494,7.98924
90,8.03427,7.93794,8.10421
92,8.03592,8.02413,8.12711
94,7.88857,7.96865,8.11981
96,7.96513,8.10742,7.93644
94,7.94111,8.06804,8.14064
92,7.9259,7.97297,8.12666
90,7.90767,7.97115,8.01749
88,7.87619,8.00377,8.03416
86,8.04468,7.98767,7.98884
84,8.03481,7.99091,7.9523
82,7.8565,8.00565,8.01044
80,8.0101,7.86445,7.90019
78,7.99809,7.97474,8.00432
76,7.97212,8.04722,7.89308
74,7.94839,8.09519,7.96294
72,8.05855,8.03724,7.91994
70,8.04218,8.00254,7.88402
68,7.99642,7.96396,7.9352
66,8.04279,7.99023,7.91327
64,8.0479,7.92976,8.01075
62,8.11938,7.91146,7.96964
60,7.95915,7.76719,7.94572
58,8.08399,7.90391,8.0863
56,8.04969,8.01286,8.01695
54,7.94087,7.98705,8.03389
52,8.1937,7.87076,7.90126
50,8.07607,7.97211,8.00949
48,8.02326,8.01292,8.04352
46,8.02016,8.14308,7.94217
44,8.05316,7.83276,8.09105
42,7.90199,8.03719,8.04182
40,8.01309,7.99339,8.00063
38,7.92775,7.89332,8.09852
36,8.01545,8.01939,7.99681
34,8.04912,8.01541,7.92928
32,7.96275,7.99429,8.01786
30,8.0991,7.93587,8.0518
28,7.99889,8.03124,8.0681
26,8.08561,7.93247,7.96133
24,8.04119,8.01123,8.00594
22,7.92815,7.99366,7.98148
20,8.08118,7.96508,8.03363
Wavelength:,220
Cell:,2
Temperature,Repeat
,0,1,2,
20,8.06288,7.98883,7.94765
22,8.08981,8.04379,7.94377
24,8.08264,8.09727,8.00018
26,8.05948,7.92657,8.06962
28,7.97746,7.90962,8.06523
30,8.03723,8.00923,7.96993
32,7.89701,7.89212,8.0567
34,8.02146,7.97855,7.91909
36,7.89908,8.00876,8.07923
38,7.99519,8.02807,8.01162
40,8.01221,8.00768,7.91999
42,7.97291,8.002,7.99146
44,7.96668,7.97089,7.94486
46,7.88572,7.98554,7.98287
48,7.98852,8.00183,7.93907
50,7.94356,7.97742,7.92762
52,8.07567,8.04222,8.10322
54,7.92292,7.83263,8.03681
56,8.0266,7.93197,7.92802
58,7.93259,8.02818,8.0682
60,7.95753,8.0469,8.08881
62,7.99413,7.98773,8.02035
64,7.93246,7.96461,8.0829
66,8.0453,7.86205,8.17196
68,8.14956,8.06559,7.91315
70,8.0691,8.04548,7.94337
72,7.97032,7.98454,7.89959
74,8.01096,7.96327,8.05368
76,8.01556,8.06686,7.94985
78,7.92721,8.01408,7.94315
80,7.86286,7.89069,7.98441
82,7.99508,8.00218,8.00134
84,8.05806,7.91321,7.93148
86,7.9989,7.99115,7.8942
88,7.998,8.00488,8.27826
90,8.06867,8.00566,8.09714
92,8.04446,7.96607,8.02008
94,7.96776,7.95072,8.0163
96,7.97409,8.08086,7.91065
94,8.06068,8.00944,8.0243
92,7.86873,8.20318,7.99986
90,8.11775,8.00455,7.92061
88,8.0122,8.07307,7.9968
86,7.95979,7.92677,8.04203
84,7.98233,8.09167,7.99329
82,7.95301,7.98385,7.9262
80,8.00946,7.98014,8.01227
78,8.02798,7.94712,8.02001
76,8.10797,7.99871,7.87276
74,8.04489,8.04098,8.12099
72,7.91106,8.13015,8.03602
70,7.97929,8.13518,7.89398
68,8.02788,8.03976,8.04132
66,8.03526,7.97006,7.95773
64,8.01998,8.01682,7.98193
62,7.86835,8.01996,7.9853
60,7.9554,8.07081,8.03009
58,8.01711,7.86206,7.98431
56,7.99481,8.0543,7.99084
54,7.93852,7.97844,7.99211
52,8.08273,8.13587,7.95211
50,8.00428,7.97828,8.02986
48,7.98159,8.05512,7.98036
46,7.97272,8.07252,7.94262
44,8.05578,7.86789,7.9636
42,7.85823,8.01331,7.98073
40,7.94747,8.05651,7.97208
38,8.08283,7.97986,7.97122
36,7.9491,7.9258,7.98153
34,7.95323,8.03311,7.99968
32,8.19174,7.98731,8.03315
30,7.88675,7.9899,7.9052
28,7.94791,8.01075,8.05746
26,8.02883,7.97619,7.95207
24,7.91311,7.97349,8.14543
22,8.08578,8.00024,8.0178
20,8.10435,8.03963,7.98892

Count
Wavelength:,220
Cell:,1
Temperature,Repeat
,0,1,2,
20,20000,20000,20000
22,20000,20000,20000
24,20000,20000,20000
26,20000,20000,20000
28,20000,20000,20000
30,20000,20000,20000
32,20000,20000,20000
34,20000,20000,20000
36,20000,20000,20000
38,20000,20000,20000
40,20000,20000,20000
42,20000,20000,20000
44,20000,20000,20000
46,20000,20000,20000
48,20000,20000,20000
50,20000,20000,20000
52,20000,20000,20000
54,20000,20000,20000
56,20000,20000,20000
58,20000,20000,20000
60,20000,20000,20000
62,20000,20000,20000
64,20000,20000,20000
66,20000,20000,20000
68,20000,20000,20000
70,20000,20000,20000
72,20000,20000,20000
74,20000,20000,20000
76,20000,20000,20000
78,20000,20000,20000
80,20000,20000,20000
82,20000,20000,20000
84,20000,20000,20000
86,20000,20000,20000
88,20000,20000,20000
90,20000,20000,20000
92,20000,20000,20000
94,20000,20000,20000
96,20000,20000,20000
94,20000,20000,20000
92,20000,20000,20000
90,20000,20000,20000
88,20000,20000,20000
86,20000,20000,20000
84,20000,20000,20000
82,20000,20000,20000
80,20000,20000,20000
78,20000,20000,20000
76,20000,20000,20000
74,20000,20000,20000
72,20000,20000,20000
70,20000,20000,20000
68,20000,20000,20000
66,20000,20000,20000
64,20000,20000,20000
62,20000,20000,20000
60,20000,20000,20000
58,20000,20000,20000
56,20000,20000,20000
54,20000,20000,20000
52,20000,20000,20000
50,20000,20000,20000
48,20000,20000,20000
46,20000,20000,20000
44,20000,20000,20000
42,20000,20000,20000
40,20000,20000,20000
38,20000,20000,20000
36,20000,20000,20000
34,20000,20000,20000
32,20000,20000,20000
30,20000,20000,20000
28,20000,20000,20000
26,20000,20000,20000
24,20000,20000,20000
22,20000,20000,20000
20,20000,20000,20000
Wavelength:,220
Cell:,2
Temperature,Repeat
,0,1,2,
20,20000,20000,20000
22,20000,20000,20000
24,20000,20000,20000
26,20000,20000,20000
28,20000,20000,20000
30,20000,20000,20000
32,20000,20000,20000
34,20000,20000,20000
36,20000,20000,20000
38,20000,20000,20000
40,20000,20000,20000
42,20000,20000,20000
44,20000,20000,20000
46,20000,20000,20000
48,20000,20000,20000
50,20000,20000,20000
52,20000,20000,20000
54,20000,20000,20000
56,20000,20000,20000
58,20000,20000,20000
60,20000,20000,20000
62,20000,20000,20000
64,20000,20000,20000
66,20000,20000,20000
68,20000,20000,20000
70,20000,20000,20000
72,20000,20000,20000
74,20000,20000,20000
76,20000,20000,20000
78,20000,20000,20000
80,20000,20000,20000
82,20000,20000,20000
84,20000,20000,20000
86,20000,20000,20000
88,20000,20000,20000
90,20000,20000,20000
92,20000,20000,20000
94,20000,20000,20000
96,20000,20000,20000
94,20000,20000,20000
