ProDataCSV

Title: Mon Aug 21 14:36:29 2023

Remarks:
#User: Chirascan User
#Date: 2023/08/21
#Instrument: 0539
#DetectorType: LAAPD
#DichOS Calibration Correction Curve: 0539/1
#HV (CDDC channel): 0 v
#Time per point: 0.5 s
#MultiCellAutoChanger: Enabled
#Sample1: protein_1
#Cell1 type: 
#Cell1 Pathlength: 10 mm
#Temperature: 24.96 C

Last Modified: Mon Aug 21 16:44:00 2023 by unknown.

Options:

Available Dimensions:,2
Wavelength,Wavelength: 195nm - 250nm,Step Size: 1nm,Bandwidth: 1nm
Temperature,36 temperatures, from 20 to 90degrees Celsius in stepped ramp mode.

Available Properties: ,7
CircularDichroism,
HV,
Absorbance,
Voltage,
Count,Time-per-point: 0.5s (25us x 20000),
SE,SE
Temperature,

Data:


CircularDichroism
Wavelength,Temperature
,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,
250,-0.637109,-0.573919,-0.495345,-0.535136,-0.41464,-0.472662,-0.467134,-0.502171,-0.506895,-0.486956,-0.429365,-0.55228,-0.523503,-0.418621,-0.387178,-0.345919,-0.365295,-0.379176,-0.421641,-0.383495,-0.35485,-0.391067,-0.438232,-0.392436,-0.516724,-0.36886,-0.357538,-0.453261,-0.458956,-0.476184,-0.452965,-0.493638,-0.491133,-0.470953,-0.481302,-0.408412
249,-0.665391,-0.565174,-0.583648,-0.589313,-0.591491,-0.544275,-0.639421,-0.710686,-0.61747,-0.649951,-0.609,-0.495618,-0.482862,-0.630671,-0.480248,-0.520031,-0.49274,-0.459101,-0.52319,-0.459687,-0.502103,-0.561071,-0.570898,-0.515848,-0.533533,-0.723355,-0.508715,-0.555889,-0.474269,-0.698589,-0.541245,-0.624057,-0.596934,-0.63314,-0.650954,-0.815388
248,-0.85595,-0.852836,-0.878233,-0.808473,-0.912828,-0.780207,-0.72985,-0.837233,-0.795558,-0.782805,-0.898191,-0.771225,-0.811955,-0.759114,-0.811044,-0.77843,-0.679054,-0.826509,-0.701034,-0.74816,-0.696807,-0.74158,-0.720017,-0.736589,-0.757007,-0.700092,-0.751176,-0.800888,-0.93266,-0.838339,-0.775024,-0.88386,-0.934828,-0.860297,-0.838274,-0.921239
247,-0.935682,-0.913554,-0.929145,-0.914619,-0.913285,-0.829043,-0.950036,-0.833247,-0.779637,-0.919322,-0.849644,-0.791503,-0.810765,-0.680926,-0.83173,-0.641788,-0.633293,-0.65934,-0.706352,-0.626286,-0.766325,-0.594242,-0.771792,-0.681595,-0.766006,-0.710004,-0.723221,-0.724639,-0.745236,-0.805521,-0.784917,-0.850492,-0.860817,-0.911768,-0.961709,-0.852839
246,-1.46317,-1.29068,-1.28142,-1.32983,-1.392,-1.35734,-1.33003,-1.32925,-1.32459,-1.43931,-1.43473,-1.28995,-1.18834,-1.1964,-1.19072,-1.11439,-1.05522,-1.05265,-1.06684,-0.973008,-0.97877,-1.05419,-1.12764,-1.15391,-1.08961,-1.14488,-1.14354,-1.04594,-1.1895,-1.19395,-1.13033,-1.18691,-1.17808,-1.30932,-1.30663,-1.31983
245,-1.73763,-1.72962,-1.56251,-1.60076,-1.66007,-1.63917,-1.57078,-1.60386,-1.59421,-1.56993,-1.4574,-1.54004,-1.38781,-1.36259,-1.23042,-1.21302,-1.08416,-1.06553,-1.22958,-1.23984,-1.08906,-1.10177,-1.14346,-1.21683,-1.10975,-1.14839,-1.18801,-1.29878,-1.30736,-1.3301,-1.42824,-1.22263,-1.28622,-1.51627,-1.52607,-1.44425
244,-2.07965,-2.10616,-2.12917,-2.02308,-2.12206,-2.05778,-2.08174,-1.99421,-2.07554,-2.1384,-2.0681,-1.90722,-1.86331,-1.75223,-1.48112,-1.49867,-1.41945,-1.47107,-1.39398,-1.42669,-1.38156,-1.45827,-1.42207,-1.44959,-1.35089,-1.48739,-1.54382,-1.61013,-1.65861,-1.57775,-1.70184,-1.76917,-1.76117,-1.80286,-1.84573,-1.84105
243,-2.75239,-2.69213,-2.69738,-2.75168,-2.6449,-2.58007,-2.60298,-2.67612,-2.70614,-2.61494,-2.48713,-2.43525,-2.25846,-2.08297,-1.91222,-1.87945,-1.79003,-1.60998,-1.78518,-1.72816,-1.68363,-1.61904,-1.54357,-1.82023,-1.73174,-1.75966,-1.72532,-1.82965,-1.80601,-1.96669,-1.96568,-2.02694,-1.98112,-2.0066,-2.19734,-2.03185
242,-3.61926,-3.53678,-3.47349,-3.56844,-3.44446,-3.50685,-3.6364,-3.53791,-3.40146,-3.51053,-3.3218,-3.18254,-3.02799,-2.70511,-2.47923,-2.35801,-2.20822,-2.13666,-2.09979,-2.03764,-2.22186,-2.14289,-2.03417,-2.08515,-2.16191,-2.207,-2.23922,-2.22549,-2.25702,-2.43128,-2.35226,-2.47735,-2.44295,-2.55333,-2.67173,-2.69467
241,-4.66337,-4.55932,-4.55707,-4.47764,-4.4703,-4.48782,-4.55823,-4.61808,-4.46656,-4.38731,-4.2082,-3.88411,-3.6167,-3.25266,-2.96208,-2.95105,-2.69396,-2.50955,-2.39837,-2.48883,-2.56188,-2.46369,-2.57514,-2.34753,-2.65132,-2.66953,-2.64796,-2.7513,-2.80433,-2.95814,-2.91779,-2.802,-3.004,-2.93751,-3.13523,-3.13934
